customer_id,login_timestamp,ip_address,country,city,device_type,device_id,browser,login_successful,two_factor_used,session_duration_minutes,login_method
SA00000001,2025-10-04 13:46:59,168.37.73.189,Saudi Arabia,Abha,Desktop,a1384ddc-e2d9-4e5d-aa18-ce4c74962764,Firefox,False,False,72,Mobile App
SA00000001,2025-10-01 21:46:59,152.147.26.109,Saudi Arabia,Jubail,Mobile,25c73c44-3e75-43b4-a64f-a6637e8f8095,Chrome,True,True,56,Mobile App
SA00000002,2025-09-25 12:46:59,128.90.216.161,Saudi Arabia,Riyadh,Desktop,c521bf2d-dc45-4539-803f-3538e4855aa1,Firefox,True,True,46,ATM
SA00000002,2025-09-06 10:46:59,221.154.204.50,Saudi Arabia,Jubail,Mobile,f53d4330-cdda-44ba-ad06-e8cf3805f907,Firefox,True,True,113,Web Portal
SA00000003,2025-09-29 00:46:59,157.187.47.117,Saudi Arabia,Dhahran,Tablet,eadf5085-3fcb-4546-8eb2-25790cdb1ca4,Firefox,True,True,101,ATM
SA00000004,2025-09-22 22:46:59,168.233.181.93,Saudi Arabia,Medina,Mobile,aae65fc1-76f2-4bfe-8d29-a36f222282e1,Edge,True,False,106,Mobile App
SA00000004,2025-09-27 23:46:59,13.19.167.5,Saudi Arabia,Dhahran,Desktop,714c7df4-e434-4d51-8158-1092f335cba3,Safari,True,False,45,ATM
SA00000004,2025-09-18 11:46:59,155.79.184.119,Saudi Arabia,Buraidah,Desktop,722764e6-8c41-461b-a827-a1b9d4a02e53,Chrome,True,False,23,ATM
SA00000004,2025-09-04 15:46:59,23.233.99.78,USA,Lake Michelle,Desktop,c40c5d91-46fd-4062-a33d-c7afd701410d,Safari,False,True,50,ATM
SA00000005,2025-09-26 22:46:59,191.129.209.155,Saudi Arabia,Riyadh,Tablet,709b7d97-464c-44af-bd3f-3799a07295e9,Firefox,True,False,9,ATM
SA00000005,2025-09-05 13:46:59,82.73.94.188,Saudi Arabia,Abha,Mobile,51d87c64-55fa-4ab8-858f-1f193c07c574,Safari,True,False,42,Web Portal
SA00000005,2025-09-12 14:46:59,210.148.23.153,Saudi Arabia,Medina,Desktop,620e99d3-3b33-43d8-a69c-d696236c7b87,Edge,True,False,52,ATM
SA00000005,2025-09-08 23:46:59,141.177.103.107,Saudi Arabia,Medina,Desktop,54b4a482-6858-4eba-aa34-c85410714d51,Safari,False,False,57,ATM
SA00000005,2025-09-28 07:46:59,7.83.129.113,Saudi Arabia,Jubail,Mobile,6b8e869f-d538-4b0e-b4f3-193c0ff0a55c,Chrome,True,False,12,Mobile App
SA00000005,2025-09-13 14:46:59,200.20.0.47,Egypt,Steinshire,Mobile,9360715f-c3fe-4183-a172-b725db52ca58,Chrome,True,True,61,ATM
SA00000005,2025-09-07 21:46:59,32.96.153.241,Saudi Arabia,Abha,Tablet,c0e3befd-4c71-40fe-9a0c-dd7cf1578470,Firefox,False,False,52,Mobile App
SA00000006,2025-09-14 01:46:59,5.195.169.202,Bahrain,Castanedachester,Desktop,6f92f25e-45df-46b6-b82c-043f7cfc9b79,Firefox,True,False,7,ATM
SA00000006,2025-09-27 20:46:59,28.113.132.169,Saudi Arabia,Taif,Tablet,cc530e36-addc-4e13-ab3b-4d37560c95ee,Safari,False,False,107,ATM
SA00000006,2025-09-20 18:46:59,42.144.23.196,Saudi Arabia,Taif,Desktop,20ac3703-eb67-446a-b7a6-e17cd72b6108,Safari,True,False,99,ATM
SA00000006,2025-09-19 03:46:59,91.110.100.64,Germany,South Brittanytown,Mobile,2e85cb21-7631-4e9d-9de9-f86322bd3388,Safari,True,False,43,Web Portal
SA00000006,2025-09-06 06:46:59,26.204.205.243,Qatar,West Nicholasborough,Mobile,473bd358-610e-4a64-a130-1617c2dff335,Edge,True,True,9,Web Portal
SA00000007,2025-09-24 06:46:59,189.125.117.134,Saudi Arabia,Riyadh,Mobile,78660765-14f7-4e8d-95bc-b8d04094dded,Edge,False,True,110,ATM
SA00000007,2025-09-22 08:46:59,113.25.15.147,Pakistan,Lake Amberstad,Desktop,0a4e5b70-a6d9-44a3-b510-ab53c7fee39f,Edge,False,True,63,Mobile App
SA00000007,2025-09-26 10:46:59,183.233.190.172,Saudi Arabia,Dhahran,Desktop,9f0fda8d-0537-4ff6-96d7-b3b833094d35,Edge,True,False,118,Mobile App
SA00000007,2025-09-15 06:46:59,141.243.33.142,UK,East David,Tablet,c4536f1d-4199-4fdf-b310-22f0770c7798,Chrome,True,False,18,Web Portal
SA00000007,2025-09-29 22:46:59,181.61.145.201,India,Garyville,Mobile,9424aed5-1bac-4c15-8fa0-3f26f6f7f0cc,Edge,True,False,98,Web Portal
SA00000007,2025-09-26 10:46:59,44.177.111.98,Kuwait,West Barbarafurt,Desktop,d4a057a7-b0cc-4b3b-9793-b9b413748146,Chrome,True,False,29,ATM
SA00000007,2025-10-02 03:46:59,134.133.141.11,Saudi Arabia,Medina,Mobile,d9acd158-4d34-45c5-85c1-4eb4b27b3d90,Chrome,True,True,17,Web Portal
SA00000007,2025-09-13 20:46:59,135.191.93.186,Saudi Arabia,Medina,Desktop,c85aca46-90e0-44a0-bbdd-3933cbd58bf6,Safari,True,True,78,ATM
SA00000007,2025-09-04 00:46:59,91.106.139.154,Saudi Arabia,Mecca,Desktop,8186a576-11a7-4609-9edd-bbbfa9597663,Chrome,True,False,74,ATM
SA00000007,2025-09-05 11:46:59,128.207.74.243,Saudi Arabia,Jubail,Mobile,7d7ddbed-d284-476c-ab88-f83dd97dc9cd,Chrome,True,True,90,Web Portal
SA00000007,2025-09-07 02:46:59,87.46.22.187,Saudi Arabia,Jeddah,Tablet,75b17a55-d426-4982-a43e-4288a2b5b498,Chrome,True,False,85,Web Portal
SA00000007,2025-10-02 07:46:59,155.223.5.122,Saudi Arabia,Riyadh,Desktop,f7294951-8591-41d2-bbda-02422d174fc9,Edge,True,False,47,ATM
SA00000007,2025-09-06 09:46:59,158.241.159.135,Saudi Arabia,Dhahran,Mobile,bb2488a3-d363-47b6-af81-cf4f7701f7bb,Safari,False,False,56,ATM
SA00000007,2025-09-16 15:46:59,148.160.163.96,Saudi Arabia,Medina,Mobile,ef43613c-d4aa-49a3-bed8-c56cda09dfa0,Safari,False,True,97,Web Portal
SA00000008,2025-09-15 02:46:59,92.217.240.163,Saudi Arabia,Riyadh,Desktop,91e1aa96-76f7-4255-801f-36bf3e6dd58b,Safari,True,False,28,Web Portal
SA00000008,2025-09-09 15:46:59,152.65.92.90,Saudi Arabia,Tabuk,Tablet,d9d80b8d-7e8a-4ee7-8758-e201561e16d1,Safari,True,True,11,Mobile App
SA00000008,2025-09-11 10:46:59,63.52.4.167,Saudi Arabia,Medina,Tablet,4223623b-cc3e-4dde-9ad5-cf06364d7c87,Edge,False,False,102,Mobile App
SA00000008,2025-10-02 14:46:59,2.195.164.75,Jordan,Joshuaview,Desktop,680bac63-b856-4035-bdc9-829015eabb27,Safari,False,False,55,ATM
SA00000008,2025-09-17 13:46:59,23.176.187.209,Saudi Arabia,Taif,Desktop,b63b4dc3-a559-4463-b9e1-3ceab0cbc61f,Safari,True,True,16,ATM
SA00000008,2025-09-28 13:46:59,78.46.162.175,Oman,Westtown,Mobile,4e6384bb-3e49-4f43-b118-f68d6786d506,Firefox,False,False,93,ATM
SA00000008,2025-09-10 07:46:59,151.158.7.245,Saudi Arabia,Jeddah,Mobile,58007c02-87ea-4ff5-8db0-674679279973,Safari,True,False,23,Web Portal
SA00000008,2025-10-04 01:46:59,53.43.175.70,Saudi Arabia,Dammam,Mobile,455ac762-7428-4656-b3ee-4d3b5a104129,Chrome,True,True,82,Web Portal
SA00000008,2025-10-01 23:46:59,46.193.34.162,Saudi Arabia,Taif,Desktop,50c7c006-314d-4441-b8a6-171f1ee34dc4,Edge,True,True,7,Web Portal
SA00000008,2025-09-04 08:46:59,99.223.163.130,Kuwait,Lake Amandaburgh,Desktop,fa02eaec-96ef-4ad6-b97e-670346c8adfe,Edge,True,True,20,Mobile App
SA00000008,2025-09-09 05:46:59,185.14.83.73,Saudi Arabia,Jeddah,Mobile,31b1b099-d527-41e7-99bc-143efb02bebb,Chrome,False,True,100,ATM
SA00000008,2025-09-22 09:46:59,55.24.172.232,Saudi Arabia,Dammam,Tablet,b540b30e-039f-4a25-8d61-68bd2defe193,Edge,True,True,79,ATM
SA00000008,2025-10-01 17:46:59,12.99.148.71,Saudi Arabia,Dammam,Tablet,8da8eee4-0df5-4ac6-b96b-648a0ba6eab9,Chrome,True,True,23,ATM
SA00000008,2025-10-02 18:46:59,159.106.142.124,Germany,Heidiberg,Tablet,92f5df7b-0323-4342-9f6a-8f931a432f0a,Edge,True,True,30,Web Portal
SA00000008,2025-09-12 14:46:59,62.163.64.234,Saudi Arabia,Taif,Mobile,f72ada9b-2f32-451e-9738-811d70c2903f,Firefox,True,True,55,Mobile App
SA00000008,2025-09-17 16:46:59,94.147.29.117,Saudi Arabia,Dammam,Mobile,6694c343-10ba-48e3-9276-2bdc1d34d08e,Chrome,True,True,102,Web Portal
SA00000008,2025-09-15 00:46:59,17.183.42.96,Saudi Arabia,Dammam,Desktop,90164161-cfa7-41cd-a631-d00b26d794d3,Chrome,False,False,90,Web Portal
SA00000008,2025-09-04 15:46:59,200.87.57.169,Saudi Arabia,Taif,Desktop,8edddfcd-1e52-4770-bf89-7142fe716b14,Chrome,True,False,95,Web Portal
SA00000008,2025-09-15 15:46:59,188.44.14.139,Jordan,Obrienbury,Tablet,4c1f55ab-7156-49ee-a893-be3d7354ea6f,Chrome,True,True,98,Mobile App
SA00000009,2025-09-18 03:46:59,221.184.249.88,Saudi Arabia,Dammam,Mobile,0f6b40d0-9efb-458b-9191-b3634e2d6645,Edge,False,True,61,Web Portal
SA00000009,2025-09-21 13:46:59,134.89.215.193,Saudi Arabia,Jeddah,Mobile,a021c0ca-3531-468d-8342-bd2bf295456e,Safari,False,False,37,ATM
SA00000009,2025-09-04 11:46:59,101.41.145.103,Saudi Arabia,Buraidah,Mobile,8d4f5d27-2c7f-4b79-bd67-cde92834e4c0,Edge,True,False,33,Web Portal
SA00000009,2025-10-01 11:46:59,64.43.214.206,Saudi Arabia,Riyadh,Tablet,980402a2-b07a-4066-b354-35ea68949b8d,Edge,False,True,25,ATM
SA00000009,2025-09-23 04:46:59,17.11.98.191,Saudi Arabia,Abha,Desktop,48603b32-b4fb-4eb9-89c1-3de73b4206c5,Chrome,True,False,71,Mobile App
SA00000009,2025-09-05 14:46:59,157.14.217.104,Saudi Arabia,Jubail,Desktop,ec856f37-3bc1-4987-aff8-754d1238d630,Chrome,True,True,91,Mobile App
SA00000009,2025-09-25 06:46:59,140.169.17.236,USA,Kristinshire,Mobile,398d1ca6-8b68-40b5-9d61-fac36cd5e859,Firefox,True,False,16,ATM
SA00000009,2025-09-08 19:46:59,145.0.31.86,Saudi Arabia,Jubail,Desktop,0f44704f-1247-4a4e-a469-98e8d39e198b,Safari,False,False,61,Mobile App
SA00000009,2025-09-20 06:46:59,185.60.76.71,Egypt,Port Kyle,Tablet,b04d3376-77fc-4703-9fd5-a423706c5c56,Firefox,True,False,99,Web Portal
SA00000009,2025-09-24 07:46:59,57.194.179.23,Saudi Arabia,Dammam,Tablet,8a3c3b5e-801e-41da-85b1-ed25f1533ae8,Safari,False,True,58,ATM
SA00000009,2025-09-19 12:46:59,18.146.250.203,Saudi Arabia,Buraidah,Desktop,6e996e3e-e3b1-47fc-8a34-50fc9918ee46,Edge,True,True,90,Mobile App
SA00000009,2025-09-16 11:46:59,65.83.228.191,USA,Cassandratown,Mobile,d248a9a7-ac1a-4554-83c7-5611ffe3fa49,Safari,False,False,50,ATM
SA00000009,2025-09-09 03:46:59,124.41.50.125,Saudi Arabia,Taif,Mobile,7872bdeb-2cd9-4cbb-819a-d58cc35b1c8c,Firefox,True,True,112,Web Portal
SA00000009,2025-10-01 07:46:59,15.19.95.34,Saudi Arabia,Riyadh,Tablet,ff37d19c-2e76-428b-8735-44f9ea83bf00,Firefox,False,True,10,Web Portal
SA00000009,2025-09-09 15:46:59,159.120.111.127,Saudi Arabia,Jubail,Desktop,5913f9d3-7852-49f4-975b-a98df8140102,Chrome,True,False,41,ATM
SA00000009,2025-09-12 08:46:59,52.140.55.239,Saudi Arabia,Riyadh,Tablet,292bd156-db94-4570-9ac7-0ec0ab8ddeb4,Chrome,True,False,30,ATM
SA00000010,2025-09-21 20:46:59,63.181.195.181,Saudi Arabia,Jubail,Mobile,668409e3-f1f8-443e-a99f-131849c8a43f,Edge,True,False,116,Mobile App
SA00000010,2025-10-03 13:46:59,160.150.79.187,Saudi Arabia,Dammam,Desktop,409d3602-5084-4242-968b-1625746f7891,Safari,False,True,32,ATM
SA00000010,2025-09-21 05:46:59,57.222.1.14,Saudi Arabia,Mecca,Mobile,fcf56188-d32e-4dcd-83bc-9478dd6ac7b8,Firefox,True,False,80,ATM
SA00000011,2025-09-19 05:46:59,44.1.90.52,Germany,Lake Mollymouth,Tablet,c1a6423b-9f64-4eed-9c9d-927d84b871bb,Safari,False,False,86,Mobile App
SA00000011,2025-09-06 09:46:59,30.37.51.17,Saudi Arabia,Abha,Tablet,445dcc38-341c-4494-8d36-6dfcc28ebd70,Firefox,True,False,45,ATM
SA00000011,2025-09-25 03:46:59,6.77.226.57,Saudi Arabia,Jubail,Desktop,7c16128d-b2c0-4394-a17f-29e170286046,Edge,True,True,50,Web Portal
SA00000011,2025-10-01 16:46:59,79.80.166.79,Saudi Arabia,Khobar,Tablet,8d03c91e-4f8d-4238-a88b-78b5b5b453ca,Safari,True,True,107,ATM
SA00000011,2025-09-22 15:46:59,199.58.23.147,UAE,New Rickybury,Tablet,a5d04d53-1e12-42e3-b272-92b6762172ed,Edge,True,True,78,Web Portal
SA00000011,2025-09-27 03:46:59,49.127.203.32,Lebanon,South Sarah,Tablet,faf14ff0-7b85-479a-95b0-77e06a5d932b,Firefox,True,True,40,Web Portal
SA00000011,2025-10-03 05:46:59,30.157.254.168,Saudi Arabia,Mecca,Mobile,30cbd755-6232-417a-a507-41818d1fb540,Safari,True,False,23,Mobile App
SA00000011,2025-09-30 06:46:59,212.94.70.190,Saudi Arabia,Khobar,Tablet,c5ce099c-46b8-4659-91df-12d7dd30de89,Safari,True,False,117,Web Portal
SA00000012,2025-09-11 13:46:59,166.163.154.170,Saudi Arabia,Taif,Mobile,81fb18b3-c9a7-491f-af2a-e71357021049,Firefox,True,False,109,ATM
SA00000012,2025-09-23 21:46:59,120.5.64.239,Saudi Arabia,Riyadh,Desktop,d664d264-4c6e-47ff-b9de-7a3a486822b9,Chrome,False,False,87,ATM
SA00000012,2025-09-13 15:46:59,159.86.68.113,Saudi Arabia,Abha,Desktop,89e06ab3-7250-4e18-a60a-5962dd81b7f5,Chrome,True,False,4,ATM
SA00000012,2025-09-06 06:46:59,26.163.89.29,Saudi Arabia,Tabuk,Mobile,6090d697-8b1e-4b9d-834b-9fbb8d4a75b8,Chrome,False,False,84,Web Portal
SA00000012,2025-10-01 19:46:59,192.93.233.18,UAE,Cantuborough,Desktop,db23aa8c-3bca-4f85-a20a-60ac9261549d,Edge,True,True,31,ATM
SA00000012,2025-09-30 11:46:59,177.101.143.5,Saudi Arabia,Abha,Tablet,b489d070-7914-48a8-bea4-ff31517400f8,Edge,True,False,84,Mobile App
SA00000012,2025-09-08 08:46:59,220.51.11.170,Saudi Arabia,Dammam,Mobile,cada4f80-a9e7-42d4-bd08-b32c62d60e93,Safari,True,False,57,Mobile App
SA00000012,2025-09-07 12:46:59,85.63.102.180,Pakistan,South Tammie,Tablet,d85480f0-dfca-40b7-99b1-7e80dea4ae17,Safari,True,False,36,Mobile App
SA00000012,2025-09-04 20:46:59,30.159.39.162,Saudi Arabia,Taif,Mobile,68f45bce-24e7-4e8e-b8f2-142303edd1f8,Firefox,True,True,101,Web Portal
SA00000012,2025-09-27 19:46:59,212.240.134.241,Saudi Arabia,Medina,Mobile,f81dbaa1-c812-4a8e-b830-89301327f1bc,Firefox,True,True,43,Mobile App
SA00000013,2025-10-04 15:46:59,123.46.11.188,Saudi Arabia,Mecca,Mobile,541cdfcd-da0d-4a5f-948f-8b74a65bb1f2,Safari,True,True,85,Mobile App
SA00000013,2025-09-30 23:46:59,169.97.72.75,Saudi Arabia,Medina,Tablet,b7fddd71-a075-4927-9110-b492f4427e0b,Safari,True,True,34,Mobile App
SA00000013,2025-09-30 00:46:59,223.157.68.8,Saudi Arabia,Jeddah,Tablet,9e11d2cd-0930-4ef6-8a80-068ddf547e50,Chrome,False,False,100,Web Portal
SA00000013,2025-09-18 05:46:59,198.151.35.25,Jordan,East Crystalport,Tablet,c2a79689-1933-418c-ba74-57616f18c108,Chrome,True,False,83,Mobile App
SA00000013,2025-10-03 08:46:59,134.110.181.235,Saudi Arabia,Dhahran,Tablet,4ca9cf07-b1aa-4f6a-aa96-e1e27194eae2,Chrome,False,False,10,Mobile App
SA00000013,2025-09-24 04:46:59,55.253.101.122,Qatar,North Markton,Desktop,87fa841a-3e83-491f-a544-0fe06e417d47,Safari,False,False,59,ATM
SA00000013,2025-09-15 10:46:59,105.67.116.80,Bahrain,Knightburgh,Tablet,9ea556aa-61ee-4c5b-9eef-580f9c07a751,Firefox,False,False,114,Mobile App
SA00000013,2025-09-21 13:46:59,159.217.199.187,Saudi Arabia,Dhahran,Desktop,3b70b3a1-24a3-4cf2-9549-c931e9af299d,Chrome,True,False,41,ATM
SA00000013,2025-09-26 12:46:59,24.32.149.22,Saudi Arabia,Abha,Desktop,0267deb3-aab6-42c9-815d-174a75a66981,Chrome,True,True,12,Web Portal
SA00000013,2025-10-01 00:46:59,222.227.90.202,Saudi Arabia,Mecca,Tablet,8beddb12-ad77-482f-89a2-3a89e6b5a92c,Chrome,True,True,53,Web Portal
SA00000013,2025-09-07 02:46:59,111.17.83.63,Saudi Arabia,Dhahran,Tablet,966b1964-fcd6-4dca-9876-fd09f1faf665,Chrome,True,False,46,Mobile App
SA00000013,2025-09-16 07:46:59,157.60.204.64,France,Daniellechester,Mobile,ffd6f232-32ff-4294-8d57-d880d865d69a,Chrome,True,False,15,Web Portal
SA00000013,2025-09-16 16:46:59,62.236.225.129,Saudi Arabia,Buraidah,Tablet,92698698-61a1-4729-bcb9-83501b4da0fe,Chrome,True,True,24,Web Portal
SA00000013,2025-09-12 14:46:59,50.239.146.191,Saudi Arabia,Khobar,Mobile,059dd55d-4b94-4e30-b303-f438fe2110d0,Firefox,True,False,9,Mobile App
SA00000013,2025-09-11 03:46:59,192.242.169.195,Saudi Arabia,Jeddah,Tablet,dd750e98-90e0-495f-8212-b554464458b4,Firefox,False,False,59,Web Portal
SA00000013,2025-09-29 12:46:59,131.35.138.120,Saudi Arabia,Khobar,Tablet,7f2984f5-bec3-4a37-9b3d-74bde91e314e,Chrome,True,True,21,ATM
